cluster,s1_read_error_rate,s2_throughput_performance,s3_spin_up_time,s4_start_stop_count,s5_reallocated_sector_count,s7_seek_error_rate,s8_seek_time_performance,s9_power_on_hours,s10_spin_retry_count,s12_power_cycle_count,s173_wear_leveling_count,s174_unexpected_power_loss_count,s183_sata_downshift_count,s187_reported_uncorrectable_errors,s188_command_timeout,s189_high_fly_writes,s190_airflow_temperature_cel,s191_g_sense_error_rate,s192_power_off_retract_count,s193_load_unload_cycle_count,s194_temperature_celsius,s195_hardware_ecc_recovered,s196_reallocated_event_count,s197_current_pending_sector,s198_offline_uncorrectable,s199_udma_crc_error_count,s200_multi_zone_error_rate,s220_disk_shift,s222_loaded_hours,s223_load_retry_count,s226_load_in_time,s240_head_flying_hours,s241_total_lbas_written,s242_total_lbas_read,
33,8.335671e-1,0e0,0e0,2.2670488e-1,2.1487958e-4,7.2422075e-1,0e0,2.0077524e-1,0e0,2.8440216e-1,-3.6237035e-14,0e0,4.1301806e-5,2.695866e-4,2.281872e-3,0e0,6.085411e-1,5.2482466e-4,9.446576e-2,5.7936245e-1,6.182918e-1,0e0,0e0,1.13670234e-4,1.9912304e-4,5.1177794e-4,0e0,0e0,-1.3539157e-3,0e0,-2.8136623e-1,2.0269851e-1,3.5568675e-1,1.3249776e-2,
34,4.6756178e-1,0e0,0e0,2.5629306e-1,1.1508618e-3,7.2795856e-1,0e0,3.1740144e-1,0e0,3.2144225e-1,-3.623693e-14,0e0,1.8994474e-4,2.1166896e-4,1.3549412e-3,0e0,5.9273916e-1,0e0,1.08819194e-1,5.8554256e-1,6.0292506e-1,4.6751907e-1,0e0,7.142704e-5,1.2512307e-4,1.3618251e-5,0e0,0e0,-1.3539623e-3,0e0,-2.8135598e-1,3.2666692e-1,3.5727128e-1,1.4175032e-2,
35,8.342757e-1,0e0,0e0,3.3501607e-1,2.9195587e-3,7.2580546e-1,0e0,3.5000044e-1,0e0,4.1612118e-1,-3.6236978e-14,0e0,0e0,1.0376283e-3,3.8442002e-3,0e0,4.445727e-1,6.19777e-4,5.3102046e-1,5.676856e-1,4.584598e-1,8.3419836e-1,0e0,4.8043934e-4,8.416147e-4,1.9058023e-4,0e0,0e0,-1.353962e-3,0e0,-2.813556e-1,3.6296684e-1,3.9834493e-1,1.5577971e-2,
36,8.202352e-7,7.276548e-1,1.0442253e-2,1.9577473e-1,1.8186508e-6,4.6228095e-5,3.7752986e-1,2.3537435e-1,0e0,2.456603e-1,-3.6244035e-14,0e0,0e0,0e0,0e0,0e0,-3.8465303e-1,0e0,6.9132835e-1,5.047597e-1,4.701602e-1,0e0,5.7060624e-5,3.0879697e-4,5.0199364e-5,1.6850512e-4,0e0,0e0,-1.3540955e-3,0e0,-2.812979e-1,0e0,6.564266e-5,6.998631e-7,
37,4.9833396e-1,0e0,0e0,2.2236161e-1,2.5499272e-4,7.242845e-1,0e0,1.9919959e-1,0e0,2.7880228e-1,-3.623708e-14,0e0,1.3715437e-5,1.3438135e-4,2.2444946e-3,0e0,6.1575246e-1,3.6083747e-4,8.9316644e-2,5.807529e-1,6.25325e-1,4.3914995e-5,0e0,1.4015133e-4,2.4551156e-4,6.109944e-4,0e0,0e0,-1.3539167e-3,0e0,-2.8136626e-1,2.0078136e-1,3.5270736e-1,1.2970955e-2,
38,1.6843097e-1,0e0,0e0,3.5256806e-1,2.7012671e-3,7.269974e-1,0e0,3.4580132e-1,0e0,4.373853e-1,-3.623673e-14,0e0,1.6999417e-3,1.0253458e-3,8.674085e-3,2.065519e-5,4.5243552e-1,6.6051986e-3,5.091238e-1,5.690447e-1,4.6612498e-1,1.4434965e-1,0e0,3.4981724e-4,6.1279617e-4,1.10246285e-4,0e0,0e0,-1.353964e-3,0e0,-2.8135756e-1,3.5830924e-1,3.99874e-1,1.501424e-2,
39,0e0,0e0,7.4693525e-1,3.3149016e-1,2.4352803e-5,0e0,0e0,1.4984304e-1,0e0,4.1763428e-1,-3.6236374e-14,0e0,0e0,0e0,0e0,0e0,-3.8461164e-1,4.7045413e-2,2.728519e-1,4.3541816e-1,4.5746222e-1,0e0,2.3104278e-4,2.1696552e-4,1.4265692e-4,1.7015173e-3,0e0,1.7438239e-1,1.594526e-1,0e0,6.842678e-1,0e0,-2.4012687e-9,-6.966886e-12,
40,1.22915435e-5,7.7801925e-1,4.9670693e-2,3.500745e-1,1.5141822e-5,0e0,9.342367e-1,7.064483e-1,4.356078e-3,4.367559e-1,-3.6241884e-14,0e0,0e0,0e0,0e0,0e0,-3.8460207e-1,0e0,6.735136e-1,4.9175096e-1,3.844478e-1,0e0,5.659167e-4,9.119318e-5,0e0,7.0825976e-4,0e0,0e0,-1.3540402e-3,0e0,-2.813196e-1,0e0,-2.4011788e-9,-6.9679345e-12,
41,1.6083512e-1,0e0,0e0,2.3119655e-1,1.9543391e-4,7.256315e-1,0e0,2.2997099e-1,0e0,2.9024482e-1,-3.6238902e-14,0e0,1.1579159e-5,1.4147005e-4,2.7806845e-3,0e0,6.0579294e-1,2.3987668e-3,9.385151e-2,5.812636e-1,6.156244e-1,2.1526923e-2,0e0,1.4766555e-4,2.5867467e-4,4.416364e-4,0e0,0e0,-1.3539636e-3,0e0,-2.8134966e-1,2.3408961e-1,3.634416e-1,1.3539106e-2,
42,7.447203e-1,0e0,0e0,2.9426986e-1,1.3138626e-4,7.937959e-1,0e0,7.512805e-1,0e0,3.6841753e-1,-3.6237947e-14,0e0,0e0,4.9311e-5,3.9130578e-13,0e0,3.2807124e-1,0e0,5.28367e-1,4.614654e-1,3.4486932e-1,7.4465257e-1,0e0,5.255033e-5,9.205559e-5,3.7478505e-5,0e0,0e0,-1.3539224e-3,0e0,-2.8135672e-1,7.9031396e-1,4.177169e-1,1.67565e-2,
43,1.6307057e-1,0e0,0e0,1.6238303e-1,2.0993728e-4,6.8186e-1,0e0,7.947768e-2,0e0,2.02587e-1,-3.6236903e-14,0e0,5.9453254e-5,2.32809e-5,7.869926e-5,1.0622806e-6,4.143347e-1,1.3070292e-2,7.075807e-2,5.947613e-1,4.2897612e-1,5.437979e-3,0e0,1.2265753e-5,2.1486661e-5,2.6450405e-5,0e0,0e0,-1.3539626e-3,0e0,-2.813562e-1,6.036261e-2,1.3831212e-1,2.5039173e-3,
44,4.0516895e-1,0e0,0e0,2.567416e-1,1.4226052e-3,7.2988874e-1,0e0,3.1881702e-1,0e0,3.1941664e-1,-3.6236588e-14,0e0,3.1563985e-5,2.2099307e-4,1.8389545e-3,0e0,3.2601967e-1,0e0,1.04241244e-1,5.7402736e-1,3.4286782e-1,4.0513104e-1,0e0,6.708768e-5,1.17521566e-4,6.3911306e-5,0e0,0e0,-1.3539527e-3,0e0,-2.813587e-1,3.2988745e-1,3.412595e-1,1.5268905e-2,
45,0e0,0e0,7.2977567e-1,2.2474304e-1,8.416782e-6,0e0,0e0,2.6014465e-1,0e0,2.8024846e-1,-3.6239464e-14,0e0,0e0,0e0,0e0,0e0,-3.845892e-1,9.4314896e-2,1.0796176e-1,2.9827723e-1,4.3576416e-1,0e0,6.767293e-5,7.4760383e-6,1.1727968e-5,1.8428128e-4,0e0,4.6120805e-1,2.8472885e-1,0e0,7.1075845e-1,0e0,-2.4012183e-9,-6.967061e-12,
46,1.4495637e-1,0e0,0e0,3.4660453e-1,2.5277135e-3,7.829546e-1,0e0,6.5873796e-1,0e0,4.359811e-1,-3.623623e-14,0e0,0e0,1.0986426e-3,8.4218197e-4,0e0,5.748782e-1,6.0377705e-1,3.0586734e-1,8.294953e-1,5.855104e-1,1.4494322e-1,0e0,4.306522e-4,7.543998e-4,9.886842e-5,0e0,0e0,-1.3539076e-3,0e0,-2.8136152e-1,6.924261e-1,3.8604224e-1,1.8581966e-2,
47,7.4946696e-1,0e0,0e0,1.4768584e-1,7.157917e-7,6.241475e-1,0e0,9.49282e-2,0e0,1.8609948e-1,-3.6236757e-14,0e0,0e0,1.4546578e-6,1.6832555e-5,0e0,3.6258084e-1,0e0,3.278081e-2,6.9027066e-1,3.785168e-1,0e0,0e0,1.705239e-5,2.9871704e-5,1.0750999e-5,0e0,0e0,-1.3539637e-3,0e0,-2.8135735e-1,4.4451036e-2,3.1449243e-2,6.6810637e-4,
48,4.1717162e-6,0e0,1.8469244e-1,3.722977e-1,1.2643934e-5,0e0,0e0,6.710884e-1,0e0,4.8358414e-1,-3.6237567e-14,0e0,0e0,0e0,0e0,0e0,-3.8461444e-1,2.1654204e-1,1.1593162e-1,1.8065423e-3,3.90634e-1,0e0,3.967066e-4,3.1859585e-5,0e0,7.2576477e-6,3.7066406e-1,0e0,-1.3539211e-3,3.41742e-2,-2.8135666e-1,0e0,-2.4014477e-9,-6.9670255e-12,
49,8.356913e-1,0e0,0e0,2.5569066e-1,1.018392e-3,7.2538894e-1,0e0,3.157917e-1,0e0,3.213452e-1,-3.623704e-14,0e0,0e0,2.706651e-4,2.1181281e-3,0e0,5.8608854e-1,1.0398754e-3,1.0647406e-1,5.8714455e-1,5.964391e-1,8.356143e-1,0e0,1.6355169e-5,2.8650336e-5,1.3161838e-5,0e0,0e0,-1.3539614e-3,0e0,-2.813551e-1,3.2468706e-1,3.55221e-1,1.4056336e-2,
